X,Y,vX,vY,aX,aY,dt,rX,rY,lX,lY
-1.89296,0.20455,14.9273,1.47544,-0.651778,0.00387032,0.231546,-1.83539,-1.74266,-1.9505,2.15075
1.56339,0.54618,14.987,-0.625923,10.0769,0.707853,0.18466,1.4681,-1.44393,1.65884,2.53979
4.33088,0.430597,14.9976,-0.270064,-1.75318,0.0208087,0.221452,4.34274,-1.35614,4.31903,2.21569
7.65212,0.370791,14.9624,-1.06232,3.688,0.0975281,0.208462,7.57479,-1.29422,7.7295,2.0368
10.7712,0.149339,14.9397,-1.34343,1.2846,0.0120801,0.230597,10.7281,-1.70516,10.8143,2.0039
14.2163,-0.160452,14.944,-1.29499,-0.209191,0.000338936,0.234283,14.2344,-2.01619,14.1981,1.69539
17.7174,-0.463847,14.9888,-0.579935,-3.26487,0.0779966,0.204483,17.3769,-2.24658,18.0576,1.31748
20.7823,-0.582434,14.8688,-1.97964,5.65789,0.265248,0.291568,20.8567,-2.35662,20.7079,1.19349
25.1176,-1.15964,14.7915,-2.49235,1.8989,0.0328129,0.254452,24.6488,-2.9967,25.5865,0.677741
28.8813,-1.79382,14.5841,-1.95927,-1.81964,-1.00479,0.295894,28.4698,-3.51721,29.2925,-0.0719469
33.1967,-2.37355,11.0216,-2.16643,2.52386,-9.79548,0.409685,32.7399,-4.02515,33.6509,-0.731328
37.7121,-3.26111,8.26744,-4.07979,8.89405,-4.91911,0.250215,37.2276,-5.41559,38.1973,-1.10314
39.7807,-4.28193,5.61253,-6.41888,10.1903,0.0383695,0.444233,37.2276,-5.41559,42.3581,-3.13748
42.274,-7.13341,1.55094,-8.93691,9.48066,3.82122,0.490793,40.2709,-8.47544,44.3096,-5.76956
43.0352,-11.5196,-1.41642,-10.3165,6.54974,4.21333,0.349586,41.0911,-12.7194,44.9218,-10.3552
42.54,-15.1261,-4.9673,-9.21599,10.0172,1.96609,0.378746,41.0911,-12.7194,44.0325,-17.6052
40.6587,-18.6166,-8.41074,-7.63033,9.36016,3.98468,0.366557,39.1238,-16.836,42.1866,-20.3892
37.5756,-21.4136,-11.507,-6.16307,8.16814,6.03785,0.308089,35.3158,-19.7075,39.8666,-23.1431
34.0305,-23.3123,-13.8821,-5.68064,4.65149,6.96502,0.270644,31.2447,-21.713,36.7797,-24.8907
30.2733,-24.8498,-14.2407,-4.71187,3.7123,0.130101,0.285559,31.2447,-21.713,29.3016,-27.9878
26.2068,-26.1953,-13.1158,-2.97506,5.07457,-5.20224,0.283921,26.7257,-23.5038,25.689,-28.8808
22.4829,-27.04,-10.6451,-0.752435,6.22048,-7.9817,0.372904,22.8584,-24.9569,22.1108,-29.1045
18.5133,-27.3205,-9.035,2.77436,10.1071,-1.32485,0.38776,19.1179,-25.5201,17.9032,-29.1376
15.0099,-26.2448,-7.34537,6.4939,9.76787,2.99548,0.411961,15.8151,-24.4027,14.1879,-28.1254
11.9839,-23.5695,-7.58455,9.39387,4.369,6.42822,0.336795,13.2244,-21.3404,10.755,-25.7779
9.42949,-20.4057,-9.03542,6.06716,-9.98312,-1.81738,0.378542,9.68866,-17.9928,9.16976,-22.8239
6.00921,-18.109,-10.6366,2.23909,-10.0468,1.91851,0.432825,5.62169,-15.5572,6.38745,-20.5998
1.40541,-17.1399,-12.2024,-1.54302,-8.82216,5.0314,0.37328,0.746399,-15.0605,2.06514,-19.2216
-3.14951,-17.7159,-7.82256,-2.98243,-6.36704,-7.84514,0.539322,-4.09597,-15.8898,-2.18625,-19.5744
-7.36839,-19.3244,-3.54048,-6.7368,-9.96571,2.39611,0.571902,-8.67086,-17.4428,-6.08866,-21.1731
-9.39319,-23.1772,0.997116,-9.41329,-8.19271,6.08015,0.460825,-11.9564,-21.4973,-6.85829,-24.8385
-8.9337,-27.5151,-0.191771,-10.3272,2.96449,2.36779,0.329674,-11.4544,-26.5431,-6.45631,-28.4703
-8.99692,-30.9197,-3.60579,-9.82665,9.98982,2.08851,0.346514,-10.9445,-30.1078,-6.95256,-31.7719
-10.2464,-34.3247,-4.47801,-6.32399,6.18856,-5.32573,0.537693,-12.5821,-34.0223,-7.92994,-34.6247
-12.6542,-37.7251,0.694515,-8.05516,-9.42547,4.0851,0.524259,-14.6733,-37.1388,-10.6892,-38.2957
-12.2901,-41.9481,4.76294,-9.8627,-6.55464,7.73769,0.353758,-14.2967,-41.8819,-10.2747,-42.0146
-10.6051,-45.4371,7.4315,-8.39054,-8.50035,1.9074,0.345919,-12.517,-46.3851,-8.63735,-44.4614
-8.03444,-48.3396,9.70419,-5.44596,-10.1178,1.487,0.381533,-9.42627,-50.1204,-6.7009,-46.6333
-4.33197,-50.4174,12.4039,-3.24168,-8.19745,5.98253,0.305334,-4.51333,-52.6566,-4.14806,-48.1466
-0.544647,-51.4072,13.4088,-0.132766,-9.67464,3.02184,0.339384,-0.517321,-53.8679,-0.571706,-48.9705
4.00609,-51.4522,10.5337,1.62572,-6.18972,-7.31824,0.363863,3.89323,-53.6859,4.11853,-49.227
7.83892,-50.8607,8.45146,-2.12096,9.83322,-2.63029,0.478349,7.95935,-52.9456,7.71789,-48.7655
11.8817,-51.8752,6.71681,-6.31808,9.57262,3.63493,0.408697,11.3881,-54.2642,12.3902,-49.4138
14.6268,-54.4574,5.13341,-9.07744,7.47628,4.43255,0.323371,13.3684,-57.3539,15.8194,-51.7124
16.2868,-57.3928,2.16117,-10.6847,9.75937,2.97775,0.338945,13.3684,-57.3539,19.3696,-57.4339
17.0193,-61.0143,-1.31111,-11.833,9.21414,4.22287,0.382708,14.3977,-60.5737,19.6144,-61.4505
16.5175,-65.5429,-4.37934,-10.7408,8.71782,0.393909,0.3637,14.0286,-65.1781,18.9687,-65.9022
14.9248,-69.4493,-6.02503,-6.94726,9.1713,-4.39698,0.449427,12.8854,-68.8852,16.9606,-70.0125
12.217,-72.5716,-9.04458,-3.49974,9.63696,3.51905,0.443981,9.81543,-71.4364,14.6992,-73.745
8.20133,-74.1254,-11.9603,-0.561793,7.5072,6.78169,0.374306,5.9926,-72.3154,10.3354,-75.8743
3.72452,-74.3357,-12.5207,2.93708,9.4331,3.86883,0.320786,5.9926,-72.3154,1.35995,-76.442
-0.291939,-73.3936,-13.5129,4.18858,3.05224,4.46272,0.270004,2.21588,-72.1455,-2.75153,-74.6176
-3.94047,-72.2626,-13.2289,6.04055,6.79135,1.92504,0.260847,-2.05598,-70.7381,-5.82738,-73.7891
-7.39119,-70.687,-11.3545,5.02602,-0.597708,-7.51498,0.304608,-6.69772,-68.7961,-8.08128,-72.5686
-10.8499,-69.156,-7.62959,5.05971,5.68574,-8.40751,0.429421,-10.3566,-67.2627,-11.3366,-71.0243
-14.1262,-66.9832,-4.68935,8.12119,9.86154,2.85649,0.397453,-12.4882,-65.4976,-15.8456,-68.5428
-15.99,-63.7555,-4.87634,10.512,2.44859,6.57926,0.285753,-14.2757,-62.0924,-17.711,-65.4251
-17.3834,-60.7516,-7.69828,9.49747,-9.6249,3.36169,0.302522,-15.5333,-59.269,-19.1236,-62.1462
-19.7123,-57.8784,-7.02226,11.1369,4.51437,3.20322,0.338206,-17.5706,-57.1936,-21.8566,-58.5641
-22.0873,-54.1119,-4.45069,13.1063,9.66458,3.26934,0.296746,-20.4282,-53.2634,-23.8262,-55.0012
-23.408,-50.2226,-2.68447,14.1582,6.2586,2.28281,0.320405,-21.9563,-49.2281,-24.84,-51.2037
-24.2681,-45.6863,-5.53074,13.9431,-9.67212,3.01558,0.243073,-22.4033,-44.9377,-26.0958,-46.42
-25.6125,-42.2971,-3.80304,14.5099,7.81028,0.474262,0.221685,-23.6626,-41.7884,-27.5854,-42.8118
-26.4555,-39.0805,-2.75519,14.7448,4.19478,0.150271,0.289981,-24.4398,-39.1428,-28.4716,-39.0181
-27.2545,-34.8047,-1.3744,14.9369,5.14718,0.239445,0.251125,-25.1645,-35.0403,-29.3461,-34.569
-27.5996,-31.0537,-1.59294,14.9152,-0.909174,0.00664448,0.23198,-25.5923,-31.409,-29.6064,-30.6985
-27.9692,-27.5937,0.751848,14.9812,10.07,0.789785,0.232477,-25.8735,-28.6539,-30.0487,-26.5416
-27.7944,-24.1109,3.27128,14.639,10.0839,0.857723,0.269991,-25.9776,-25.5034,-29.6405,-22.6959
-26.9112,-20.1585,4.18993,14.403,3.68924,0.116704,0.243942,-25.2342,-22.1553,-28.5758,-18.1764
-25.8891,-16.645,5.05864,14.1213,3.96917,0.120875,0.216008,-24.0034,-19.0028,-27.7751,-14.2868
-24.7964,-13.5947,7.04718,13.2415,8.768,0.637187,0.278686,-21.7818,-12.8943,-27.7751,-14.2868
-22.8324,-9.90449,9.49692,11.6107,10.0872,0.994311,0.301995,-19.8909,-9.5165,-25.8446,-10.3018
-19.9644,-6.39811,11.0575,9.47583,9.30564,-0.720742,0.264668,-16.8934,-6.51108,-22.9826,-6.28708
-17.0378,-3.89016,12.5,7.1669,10.1141,0.382891,0.273306,-16.8934,-6.51108,-17.1834,-1.24857
-13.6215,-1.93141,11.7472,4.32827,8.29393,-5.82458,0.30623,-13.9255,-4.13249,-13.3248,0.216764
-10.0241,-0.605959,12.5872,1.46887,10.0821,1.72604,0.276482,-10.9802,-2.6607,-9.00733,1.57933
-6.54399,-0.199843,14.9436,1.2993,1.26945,7.93867,0.311238,-8.10116,-2.46271,-5.05165,1.96882
