X,Y,vX,vY,aX,aY,dt,rX,rY,lX,lY
-0.0567438,-0.480751,7.92816,1.07018,1.01874,0.0272629,0.421114,0.259185,-2.19043,-0.372821,1.22973
3.28191,-0.0300831,7.99978,0.066923,2.50471,0.157758,0.380436,3.26948,-1.73163,3.29436,1.67332
6.32532,-0.00462318,7.96519,-0.746175,2.12123,0.108032,0.385891,6.26298,-1.7595,6.38771,1.75179
9.39901,-0.292566,7.76665,-1.91836,3.0601,0.22801,0.38898,9.14364,-2.09358,9.65476,1.51106
12.4201,-1.03877,7.93482,-1.01959,-2.35782,0.134965,0.385356,12.0861,-2.72234,12.7537,0.642925
15.4778,-1.43168,7.8369,-1.60749,1.50422,0.0560657,0.406517,15.141,-3.30078,15.8149,0.438907
18.6636,-2.08515,7.82994,-1.64102,0.0887504,0.000174646,0.365301,18.2893,-3.85353,19.0397,-0.308724
21.5239,-2.68461,7.99777,0.190957,-5.0433,0.583733,0.359402,21.3163,-4.24883,21.7296,-1.13516
24.3983,-2.61598,7.88138,1.37285,-3.21498,0.239302,0.377356,24.4643,-4.28667,24.3322,-0.940324
27.3724,-2.09793,7.47804,2.8425,-4.10079,0.392387,0.362536,27.76,-3.69484,26.9855,-0.503639
30.0835,-1.06742,7.49661,2.79317,0.140793,0.000466462,0.386201,30.6334,-2.75095,29.5335,0.616349
32.9787,0.0113058,7.39069,3.06246,-0.757472,0.013703,0.377722,33.6441,-1.62259,32.3135,1.64466
35.7703,1.16807,7.26328,3.35347,-0.833317,0.0165522,0.384574,36.5448,-0.418259,34.9961,2.75385
38.5636,2.45773,6.7368,3.73419,-1.49909,-0.703124,0.400205,39.3206,0.871552,37.8071,4.04281
41.2597,3.95217,5.41094,3.2844,-0.700287,-3.15416,0.466455,42.1151,2.38259,40.3784,5.56922
43.7836,5.48419,3.37492,4.7186,-5.36174,-0.0385967,0.462492,44.826,4.08656,42.7803,6.82952
45.3445,7.6665,1.91409,6.71409,-4.16441,3.23974,0.474947,47.024,6.77014,43.6803,8.55472
46.2536,10.8553,0.27713,7.80266,-3.8043,2.33946,0.40541,48.003,10.402,44.476,11.316
46.366,14.0186,0.723005,7.96732,1.08591,0.51689,0.385021,48.1773,13.7586,44.5535,14.2788
46.6443,17.0862,0.466902,7.98642,-0.67763,0.0108758,0.372858,48.3385,17.0439,44.9507,17.1285
46.8184,20.064,0.675098,7.97152,0.536293,0.00699739,0.405484,48.5032,20.1431,45.1332,19.9849
47.0922,23.2963,0.198809,7.99759,-1.24802,0.0372204,0.358591,48.8399,23.3339,45.3454,23.2588
47.1635,26.1642,0.062285,7.99982,-0.361992,0.00309141,0.395778,48.7978,26.1651,45.5293,26.1633
47.1881,29.3303,-0.347825,7.99248,-1.04477,0.0267626,0.389164,48.8902,29.3393,45.4868,29.3214
47.0527,32.4407,-0.178995,7.73251,0.410609,-0.665514,0.40365,48.6401,32.5649,45.453,32.3156
46.9805,35.562,-1.9399,6.36578,-4.79694,-1.82878,0.46475,48.7966,35.8396,45.1649,35.2844
46.0789,38.5205,-3.8174,4.51601,-5.25415,-0.40113,0.535607,47.6703,39.2226,44.4984,37.8231
44.0343,40.9393,-5.65823,2.57671,-5.03302,1.73534,0.468889,45.118,42.2749,42.9703,39.6279
41.3812,42.1474,-7.17983,0.800184,-4.26316,2.89951,0.438481,41.904,43.8415,40.8573,40.4497
38.233,42.4983,-7.68668,-0.42002,-2.74615,1.32074,0.42872,38.2331,44.2875,38.2329,40.635
34.9376,42.3182,-7.3,-2.44369,-5.2379,0.707306,0.350886,34.6284,44.0711,35.2266,40.6796
32.3761,41.4608,-7.09094,-3.70395,-3.33429,1.09378,0.377207,31.7444,43.0449,33.0308,39.819
29.7013,40.0636,-7.26352,-3.35294,1.00751,0.0246799,0.399006,28.8998,41.5853,30.5033,38.5412
26.8032,38.7258,-7.26497,-3.34981,0.00877737,1.59E-06,0.386797,26.0703,40.3179,27.536,37.1337
23.9931,37.4301,-7.33334,-3.19735,0.432757,0.00451849,0.385362,23.2929,39.0229,24.6934,35.837
21.1671,36.198,-7.50214,-2.77822,1.16014,0.0327288,0.393275,20.5222,37.8606,21.8123,34.5345
18.2167,35.1053,-6.58632,-0.893324,4.12632,-2.74548,0.452373,17.7755,36.7486,18.6492,33.4944
15.2372,34.7012,-6.08751,1.53632,5.2758,0.23611,0.486948,15.2211,36.4155,15.2538,32.9376
12.2729,35.4493,-5.40001,3.8916,4.92962,1.74632,0.451357,13.1014,36.9643,11.4352,33.9175
9.83558,37.2058,-3.01661,4.8303,5.00364,-0.926354,0.555426,11.2423,38.4497,8.47435,36.0022
8.16008,39.8887,-0.376449,5.80032,5.13818,1.51815,0.494533,9.74508,40.4873,6.52233,39.2702
7.97391,42.7572,2.02883,6.46234,4.36036,2.81203,0.467108,9.6823,42.7635,6.28722,42.7509
8.9216,45.7758,4.25574,6.33445,4.46086,2.63899,0.393617,10.6283,44.983,7.17924,46.5851
10.5967,48.2691,4.74373,6.44187,0.832964,0.950892,0.396923,12.0806,47.3083,9.13406,49.2162
12.4796,50.826,4.84142,6.3688,0.321734,0.00249913,0.361482,13.8638,49.7722,11.0953,51.88
14.2297,53.1282,5.27432,6.01518,1.47461,0.0515386,0.396171,15.5609,51.9949,12.8977,54.2623
16.3192,55.5113,5.77059,5.13667,2.49236,-0.539413,0.395178,17.603,54.2468,15.0374,56.7739
18.5997,57.5412,5.7239,2.94255,4.46562,-2.41716,0.469212,19.7145,56.1469,17.5115,58.9021
21.2854,58.9219,6.11029,0.327849,5.36981,0.50145,0.510954,21.8531,57.3086,20.6919,60.6083
24.4075,59.0894,7.19303,-1.77462,3.92687,3.42643,0.396593,24.1908,57.3864,24.6241,60.7923
27.2602,58.3856,7.51082,-2.75458,2.03923,1.59939,0.398432,26.7332,56.768,27.7801,59.9816
30.2527,57.2881,6.56122,-2.40725,0.00228686,-2.30384,0.479344,29.6292,55.6178,30.8964,59.0124
33.3978,56.1342,6.57495,0.0462155,-5.37594,0.0678861,0.433356,33.0864,54.3469,33.6949,57.8395
36.2471,56.1542,7.31152,2.02303,-4.23368,3.06488,0.37389,36.5623,54.4592,35.9337,57.8393
38.9808,56.9106,7.50932,2.75874,-1.60376,1.13219,0.40225,39.7698,55.2554,38.1747,58.6016
42.0014,58.0203,6.62977,3.93292,-3.56915,-0.385127,0.415093,42.939,56.3541,41.0655,59.6835
44.7534,59.6528,4.65669,4.12095,-3.14298,-2.93591,0.506578,45.7318,58.2778,43.7567,61.0535
47.1124,61.7404,1.88554,4.88561,-5.32733,-0.529616,0.56736,48.6237,60.6855,45.6367,62.7704
48.1821,64.5123,-0.528438,6.30684,-4.35105,3.07808,0.483828,49.6942,64.4634,46.6948,64.5604
47.9265,67.5637,-1.65831,7.41882,-1.9269,2.98343,0.408886,49.636,67.8081,46.185,67.3148
47.2484,70.5972,-3.12463,7.36462,-3.49553,1.33297,0.375556,48.8896,71.1065,45.6099,70.0887
46.0749,73.363,-3.79965,7.04014,-1.94227,0.091012,0.394828,47.6866,74.1227,44.4645,72.6039
44.5747,76.1427,-5.36154,5.93756,-4.92039,0.592141,0.37672,46.0004,77.0738,43.1498,75.212
42.5549,78.3795,-6.57248,4.40709,-5.04594,0.397887,0.394417,43.7454,79.7492,41.3349,76.9757
39.9626,80.1177,-7.46307,2.5672,-5.21339,0.625955,0.384164,40.8732,81.6509,39.0921,78.6519
37.0956,81.1039,-7.95544,0.612938,-5.05558,0.867375,0.401625,37.2583,82.7827,36.9289,79.3843
33.9005,81.3501,-7.87772,-1.39357,-5.13874,0.705157,0.372639,33.8649,83.1167,33.935,79.6354
30.9649,80.8308,-7.76439,-1.92745,-1.42059,0.0485441,0.395287,30.5482,82.508,31.3901,79.1196
27.8958,80.0689,-7.39155,-3.06038,-3.13154,0.234107,0.364328,27.474,81.659,28.317,78.4808
25.2028,78.9539,-7.16876,-3.55104,-1.45369,0.0489889,0.376644,24.5984,80.5553,25.8069,77.3534
22.5028,77.6164,-6.96332,-3.93867,-1.13567,0.0311533,0.395662,21.6387,79.1959,23.3664,76.0377
19.7476,76.058,-6.45129,-4.73094,-2.45246,0.144839,0.372284,18.7898,77.5997,20.7044,74.5181
17.3459,74.2968,-6.1541,-5.11155,-1.29428,0.0390806,0.373584,16.2585,75.5484,18.4328,73.0458
