X,Y,vX,vY,aX,aY,dt,rX,rY,lX,lY
-0.577891,0.0385156,7.9989,0.136108,1.0442,0.0234629,0.302186,-0.667038,-1.63176,-0.488707,1.70947
1.83927,0.0796455,8.00003,0.0287747,0.248047,0.00170387,0.563264,1.8348,-1.80605,1.84374,1.96555
6.3454,0.0958533,7.99877,0.145038,-0.206008,0.00150632,0.565493,6.32208,-1.80932,6.36871,2.00075
10.8686,0.177871,7.63105,0.0493053,0.15707,-0.619723,0.623205,11.0501,-1.67286,10.6877,2.02346
15.6244,0.208598,5.84837,-2.04576,4.7625,-1.83908,0.454453,15.2724,-1.76841,15.9704,2.15242
18.2822,-0.721103,3.90584,-3.69362,5.30116,-0.58444,0.500803,17.23,-2.4712,19.3637,1.07785
20.2382,-2.57088,2.46519,-5.64606,4.58667,2.64707,0.415569,18.6245,-3.84094,21.8966,-1.26568
21.2627,-4.91721,3.59256,-6.4119,-1.56925,3.14062,0.360825,19.9929,-6.63343,22.5014,-3.24297
22.559,-7.23079,2.61027,-7.56225,2.91454,1.71423,0.533912,21.5737,-9.79861,23.5453,-4.66018
23.9526,-11.2684,3.11511,-7.36868,-1.06735,0.0360969,0.478629,22.9797,-13.624,24.9249,-8.91427
25.4436,-14.7952,1.92759,-7.76439,2.41226,0.189298,0.55598,22.9797,-13.624,27.9114,-15.9683
26.5153,-19.1121,1.15636,-7.91606,1.4683,0.072205,0.513364,24.2882,-17.4804,28.7444,-20.7452
27.1089,-23.1759,-0.0228272,-8.00003,2.71478,0.201101,0.355172,25.2429,-21.6868,28.9775,-24.667
27.1008,-26.0173,-0.0214076,-8.00003,-0.00391748,-4.01E-06,0.369579,25.2241,-27.3676,28.9775,-24.667
27.0929,-28.9739,0.276975,-7.99527,-0.720894,0.0134645,0.458195,25.2241,-27.3676,28.9611,-30.5797
27.2198,-32.6373,1.16754,-7.91442,-1.98025,0.110851,0.443539,25.1978,-31.1043,29.2397,-34.1687
27.7377,-36.1477,1.84916,-7.78343,-1.57979,0.0685967,0.434349,25.5923,-34.6602,29.8814,-37.634
